'Page Number,'Tipo,'Texto,'Confidence Score % (Line),
"'1","'LINE","'GOVERNO DO ESTADO DO","'99.27458191"
"'1","'LINE","'AMAZONAS","'99.63908386"
"'1","'LINE","'JUNTA MÉDICA - PERICIAL DO ESTADO","'96.53540039"
"'1","'LINE","'A Junta Médica Pericial do Estado","'99.09864807"
"'1","'LINE","'servidor(a) JACQUELINE PITA DE SOUZA","'99.12951660"
"'1","'LINE","'CPF: 85955671234","'94.68168640"
"'1","'LINE","'público, matrícula n° 234.450-5A lotado no (a): SEDUC","'92.91960144"
"'1","'LINE","'unidade: ESC.EST.PROF.JURACY B. GOMES","'96.13248444"
"'1","'LINE","'ocupado do Cargo de: PROFESSOR","'99.47841644"
"'1","'LINE","'e residente a: Residencial Viver Melhor III, N° 203","'94.89162445"
"'1","'LINE","'CEP: 69099148","'99.36621094"
"'1","'LINE","'Bairro: Cidade de Deus","'99.25230408"
"'1","'LINE","'cidade: MANAUS/AMAZONAS","'97.70213318"
"'1","'LINE","'telefone: (92)98411-7440","'97.71929169"
"'1","'LINE","'de","'99.83895111"
"'1","'LINE","'acordo com o atestado em anexo, vem perante essa Junta Médica Pericial do Estado requerer:","'98.29624176"
"'1","'LINE","'description","'7.03782129"
"'1","'LINE","'LICENÇA MÉDICA/ESTATUTÁRIA","'86.55030823"
"'1","'LINE","'por","'86.07356262"
"'1","'LINE","'Data 17/08/2023","'99.52489471"
"'1","'LINE","'found Requerente Pate C.I.N° d.","'58.64385223"
"'1","'LINE","'Ag. Setor de Pessoal","'99.45067596"
"'1","'LINE","'emergency","'14.16354370"
"'1","'LINE","'Para uso exclusivo da J.M.P.E","'98.57756805"
"'1","'LINE","'unteredo","'14.87162399"
"'1","'LINE","'LAUDO MÉDICO N° 25/2421","'92.14288330"
"'1","'LINE","'11-10","'14.66989708"
"'1","'LINE","'Licença","'95.75695038"
"'1","'LINE","'Período","'93.00685883"
"'1","'LINE","'Data do exame","'99.77605438"
"'1","'LINE","'sas","'18.49336052"
"'1","'LINE","'Por 60 dias","'99.53353119"
"'1","'LINE","'16/07/2023","'98.64012909"
"'1","'LINE","'à 13/09/2023","'99.29528046"
"'1","'LINE","'17/08/2023","'99.35171509"
"'1","'LINE","'LAUDO","'99.43360138"
"'1","'LINE","'en","'76.06199646"
"'1","'LINE","'Licença Negada","'97.06671143"
"'1","'LINE","'CID Z76.3","'93.98261261"
"'1","'LINE","'Decurso de Prazo","'99.51121521"
"'1","'LINE","'Junta Especial","'99.55798340"
"'1","'LINE","'Secretaria de Estado de Administração e Gestão SEAD","'98.10408783"
"'1","'LINE","'JUNTAMÉDICO PERICIAL DO ESTADO","'94.10128021"
"'1","'LINE","'Secretaria de Estado Administração e Gesta","'89.79202271"
"'1","'LINE","'OVELTE","'16.96448898"
"'1","'LINE","'JUNTA MÉDICO PERICIAL DO ESTADO","'93.37940979"
"'1","'LINE","'Dra. Marindia Guerro Dutra","'96.05214691"
"'1","'LINE","'Médica PePerit6R M/AM 4897","'79.20355988"
"'1","'LINE","'Perito","'99.00010681"
"'1","'LINE","'Drd. Glaudresidente V. Dias","'64.73876953"
"'1","'LINE","'Presidente CRM/AM 2636","'56.88928986"
"'1","'LINE","'AMOUNT","'23.06777382"
"'1","'LINE","'por","'77.52484131"
"'1","'LINE","'Endereço: Rua Igarapó do Manaus, s/n°, Quadra 3, Parque Residencial Manaus (Prosamim), no antigo prédio onde","'90.20677948"
"'1","'LINE","'funcionava sede do Prosamim, Centro, Manaus-AM. Telefone (92)3082-6560","'92.16541290"
"'1","'LINE","'Av. Mario Ypiranga 3280 Parque Dez","'98.04903412"
"'1","'LINE","'SECRETARIA DE","'98.29878998"
"'1","'LINE","'www.seadam.gov.br Fone: 3182-2800","'71.42839050"
"'1","'LINE","'ADMINISTRAÇÃO E GESTÃO","'96.88872528"
